Pseudonym,Faculty,Post,Duration of employment,Frequency educator believe students are using AI,AI used by respondents,Professional Development in AI,Modified the course keeping AI in mind
SR259,Not indicated ,adjunct senior lecturer,5 to 10,Sometimes,ChatGPT,P.D. UNDERTAKEN,no
SR260,Not indicated ,tenured staff,5 to 10,Never,Grammarly,P.D. UNDERTAKEN,no
SR261, Health & Medical Sciences,on fixed term ,5 to 10,Often,Grammarly,P.D. UNDERTAKEN,no
SR262,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Never,Research Rabbit,P.D. UNDERTAKEN,yes
SR263,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Often,ChatGPT,P.D. UNDERTAKEN,no
SR264,"Arts, Business, Law  & Economics",on fixed term ,>15,Never,Research Rabbit,P.D. UNDERTAKEN,yes
SR265,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,ChatGPT,P.D. UNDERTAKEN,no
SR266,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Sometimes,Research Rabbit,NO P.D.,yes
SR267, Health & Medical Sciences,tenured staff,5 to 10,Never,Elicit,INADEQUATE P.D.,no
SR268, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Never,Midjourney,INADEQUATE P.D.,no
SR269,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Sometimes,Dalle-E,NO P.D.,yes
SR270,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Often,Dalle-E,INADEQUATE P.D.,no
SR271, Health & Medical Sciences,adjunct senior lecturer,>15,Sometimes,ChatGPT,INADEQUATE P.D.,no
SR272,"Science, Engineering  & Tech",tenured staff,>15,Often,Bing AI,INADEQUATE P.D.,yes
SR273,"Arts, Business, Law  & Economics",on fixed term ,>15,Never,Otter,P.D. UNDERTAKEN,no
SR274,Not indicated ,adjunct senior lecturer,0 to 5,Never,Grammarly,P.D. UNDERTAKEN,yes
SR275,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Often,Grammarly,NO P.D.,no
SR276, Health & Medical Sciences,tenured staff,0 to 5,Never,ChatGPT,P.D. UNDERTAKEN,no
SR277,Not indicated ,on fixed term ,0 to 5,Often,Elicit,INADEQUATE P.D.,no
SR278,Not indicated ,on fixed term ,0 to 5,Rarely,Research Rabbit,P.D. UNDERTAKEN,yes
SR279,Not indicated ,tenured staff,5 to 10,Sometimes,Bing AI,P.D. UNDERTAKEN,no
SR280,"Science, Engineering  & Tech",tenured staff,5 to 10,Rarely,Midjourney,P.D. UNDERTAKEN,no
SR281, Health & Medical Sciences,on fixed term ,>15,Often,Research Rabbit,P.D. UNDERTAKEN,yes
SR282,Not indicated ,adjunct senior lecturer,>15,Sometimes,Research Rabbit,NO P.D.,yes
SR283,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Often,ChatGPT,INADEQUATE P.D.,no
SR284,Not indicated ,tenured staff,10 to 15,Sometimes,ChatGPT,INADEQUATE P.D.,no
SR285,Not indicated ,adjunct senior lecturer,0 to 5,Sometimes,Elicit,NO P.D.,no
SR286,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Sometimes,Grammarly,INADEQUATE P.D.,no
SR287,"Science, Engineering  & Tech",tenured staff,5 to 10,Sometimes,ChatGPT,INADEQUATE P.D.,yes
SR288, Health & Medical Sciences,tenured staff,5 to 10,Often,ChatGPT,INADEQUATE P.D.,yes
SR289,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Sometimes,ChatGPT,P.D. UNDERTAKEN,no
SR290,"Science, Engineering  & Tech",on fixed term ,>15,Sometimes,Elicit,P.D. UNDERTAKEN,no
SR291,Not indicated ,on fixed term ,>15,Rarely,Grammarly,NO P.D.,no
SR292, Health & Medical Sciences,adjunct senior lecturer,>15,Never,Midjourney,P.D. UNDERTAKEN,yes
SR293,Not indicated ,tenured staff,0 to 5,Never,Midjourney,INADEQUATE P.D.,yes
SR294,Not indicated ,adjunct senior lecturer,0 to 5,Rarely,Otter,P.D. UNDERTAKEN,no
SR295,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Rarely,Otter,P.D. UNDERTAKEN,no
SR296, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Often,ChatGPT,P.D. UNDERTAKEN,no
SR297,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Often,Otter,P.D. UNDERTAKEN,no
SR298,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Often,Grammarly,NO P.D.,no
SR299,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Rarely,Elicit,INADEQUATE P.D.,no
SR300,"Science, Engineering  & Tech",tenured staff,>15,Rarely,Midjourney,INADEQUATE P.D.,no
SR301, Health & Medical Sciences,tenured staff,>15,Sometimes,Research Rabbit,NO P.D.,yes
SR302,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Often,Midjourney,INADEQUATE P.D.,no
SR303,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Often,Midjourney,INADEQUATE P.D.,no
SR304,"Arts, Business, Law  & Economics",on fixed term ,>15,Often,Grammarly,INADEQUATE P.D.,no
SR305,Not indicated ,tenured staff,0 to 5,Never,Otter,P.D. UNDERTAKEN,no
SR306,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Sometimes,Research Rabbit,P.D. UNDERTAKEN,no
SR307,Not indicated ,tenured staff,5 to 10,Often,Grammarly,NO P.D.,no
SR308, Health & Medical Sciences,on fixed term ,5 to 10,Often,ChatGPT,P.D. UNDERTAKEN,no
SR309,Not indicated ,on fixed term ,10 to 15,Often,Elicit,INADEQUATE P.D.,no
SR310, Health & Medical Sciences,adjunct senior lecturer,>15,Never,Dalle-E,P.D. UNDERTAKEN,yes
SR311,"Arts, Business, Law  & Economics",on fixed term ,>15,Never,Midjourney,P.D. UNDERTAKEN,no
SR312,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Dalle-E,P.D. UNDERTAKEN,no
SR313, Health & Medical Sciences,on fixed term ,0 to 5,Sometimes,Elicit,P.D. UNDERTAKEN,yes
SR314,"Science, Engineering  & Tech",on fixed term ,5 to 10,Rarely,Elicit,NO P.D.,no
SR315, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Sometimes,Grammarly,INADEQUATE P.D.,no
SR316,"Science, Engineering  & Tech",on fixed term ,5 to 10,Never,Grammarly,INADEQUATE P.D.,no
SR317,Not indicated ,tenured staff,10 to 15,Often,Grammarly,NO P.D.,no
SR318,Not indicated ,tenured staff,>15,Rarely,Dalle-E,INADEQUATE P.D.,no
SR319,Not indicated ,on fixed term ,>15,Often,Grammarly,INADEQUATE P.D.,yes
SR320,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Elicit,INADEQUATE P.D.,yes
SR321,Not indicated ,tenured staff,0 to 5,Never,ChatGPT,P.D. UNDERTAKEN,no
SR322,"Science, Engineering  & Tech",tenured staff,5 to 10,Never,Grammarly,P.D. UNDERTAKEN,yes
SR323,Not indicated ,adjunct senior lecturer,5 to 10,Never,Bing AI,NO P.D.,yes
SR324, Health & Medical Sciences,tenured staff,5 to 10,Rarely,Otter,P.D. UNDERTAKEN,no
SR325, Health & Medical Sciences,tenured staff,10 to 15,Sometimes,Dalle-E,INADEQUATE P.D.,no
SR326,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Bing AI,P.D. UNDERTAKEN,yes
SR327, Health & Medical Sciences,tenured staff,>15,Sometimes,Grammarly,P.D. UNDERTAKEN,no
SR328,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Rarely,Elicit,P.D. UNDERTAKEN,maybe
SR329,Not indicated ,tenured staff,0 to 5,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR330,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Never,Midjourney,NO P.D.,no
SR331,Not indicated ,on fixed term ,0 to 5,Often,Research Rabbit,INADEQUATE P.D.,no
SR332,Not indicated ,tenured staff,0 to 5,Often,Otter,INADEQUATE P.D.,yes
SR333,"Science, Engineering  & Tech",on fixed term ,0 to 5,Sometimes,Research Rabbit,NO P.D.,no
SR334, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Often,Grammarly,INADEQUATE P.D.,no
SR335, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Rarely,Otter,INADEQUATE P.D.,no
SR336,Not indicated ,tenured staff,>15,Rarely,Otter,INADEQUATE P.D.,no
SR337,"Arts, Business, Law  & Economics",tenured staff,>15,Never,ChatGPT,P.D. UNDERTAKEN,no
SR338, Health & Medical Sciences,tenured staff,10 to 15,Never,Otter,P.D. UNDERTAKEN,no
SR339,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Often,Dalle-E,NO P.D.,yes
SR340, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Sometimes,Bing AI,P.D. UNDERTAKEN,yes
SR341,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Often,Bing AI,INADEQUATE P.D.,yes
SR342,"Science, Engineering  & Tech",on fixed term ,5 to 10,Often,Bing AI,P.D. UNDERTAKEN,yes
SR343,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Often,Dalle-E,P.D. UNDERTAKEN,no
SR344,"Science, Engineering  & Tech",tenured staff,10 to 15,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR345,"Science, Engineering  & Tech",tenured staff,>15,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR346,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,Otter,NO P.D.,yes
SR347,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Rarely,Dalle-E,INADEQUATE P.D.,yes
SR348,Not indicated ,tenured staff,0 to 5,Sometimes,Bing AI,INADEQUATE P.D.,no
SR349,"Science, Engineering  & Tech",on fixed term ,0 to 5,Never,Grammarly,NO P.D.,no
SR350, Health & Medical Sciences,on fixed term ,0 to 5,Often,Midjourney,INADEQUATE P.D.,yes
SR351,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Rarely,Otter,INADEQUATE P.D.,no
SR352,Not indicated ,on fixed term ,0 to 5,Sometimes,Dalle-E,INADEQUATE P.D.,no
SR353,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Never,Elicit,P.D. UNDERTAKEN,no
SR354, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Never,Dalle-E,P.D. UNDERTAKEN,yes
SR355, Health & Medical Sciences,tenured staff,>15,Often,ChatGPT,NO P.D.,no
SR356, Health & Medical Sciences,tenured staff,>15,Sometimes,ChatGPT,P.D. UNDERTAKEN,no
SR357,"Science, Engineering  & Tech",tenured staff,10 to 15,Rarely,Dalle-E,INADEQUATE P.D.,no
SR358,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Often,Bing AI,P.D. UNDERTAKEN,yes
SR359,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Midjourney,P.D. UNDERTAKEN,no
SR360,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Never,Otter,P.D. UNDERTAKEN,yes
SR361,Not indicated ,tenured staff,5 to 10,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR362,Not indicated ,adjunct senior lecturer,5 to 10,Rarely,Otter,NO P.D.,no
SR363,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Often,Bing AI,INADEQUATE P.D.,no
SR364,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Rarely,Otter,INADEQUATE P.D.,no
SR365, Health & Medical Sciences,on fixed term ,>15,Often,Grammarly,NO P.D.,yes
SR366,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Never,ChatGPT,INADEQUATE P.D.,no
SR367,Not indicated ,adjunct senior lecturer,>15,Often,Bing AI,INADEQUATE P.D.,yes
SR368,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Often,Bing AI,INADEQUATE P.D.,no
SR369,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Sometimes,Midjourney,P.D. UNDERTAKEN,no
SR370,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Rarely,Midjourney,P.D. UNDERTAKEN,no
SR371,"Science, Engineering  & Tech",on fixed term ,5 to 10,Never,Grammarly,NO P.D.,yes
SR372,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Often,Bing AI,P.D. UNDERTAKEN,no
SR373,"Science, Engineering  & Tech",on fixed term ,>15,Never,Research Rabbit,INADEQUATE P.D.,no
SR374, Health & Medical Sciences,on fixed term ,>15,Sometimes,Bing AI,P.D. UNDERTAKEN,yes
SR375,"Science, Engineering  & Tech",tenured staff,>15,Rarely,Midjourney,P.D. UNDERTAKEN,no
SR376,"Science, Engineering  & Tech",on fixed term ,0 to 5,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR377,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Rarely,ChatGPT,P.D. UNDERTAKEN,yes
SR378,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Sometimes,ChatGPT,NO P.D.,no
SR379,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Sometimes,Otter,INADEQUATE P.D.,no
SR380,"Science, Engineering  & Tech",tenured staff,10 to 15,Never,Dalle-E,INADEQUATE P.D.,no
SR381,"Arts, Business, Law  & Economics",tenured staff,>15,Often,Midjourney,NO P.D.,no
SR382,Not indicated ,adjunct senior lecturer,>15,Never,Dalle-E,INADEQUATE P.D.,yes
SR383,Not indicated ,on fixed term ,>15,Sometimes,Research Rabbit,INADEQUATE P.D.,yes
SR384,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Rarely,Midjourney,INADEQUATE P.D.,yes
SR385,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Never,Grammarly,P.D. UNDERTAKEN,no
SR386,"Science, Engineering  & Tech",on fixed term ,0 to 5,Never,Bing AI,P.D. UNDERTAKEN,no
SR387, Health & Medical Sciences,on fixed term ,0 to 5,Rarely,Grammarly,NO P.D.,no
SR388,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Never,Research Rabbit,P.D. UNDERTAKEN,yes
SR389,Not indicated ,tenured staff,5 to 10,Rarely,Midjourney,INADEQUATE P.D.,no
SR390,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Often,Elicit,P.D. UNDERTAKEN,no
SR391,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Research Rabbit,P.D. UNDERTAKEN,no
SR392,Not indicated ,adjunct senior lecturer,>15,Often,Elicit,P.D. UNDERTAKEN,no
SR393,Not indicated ,adjunct senior lecturer,10 to 15,Rarely,Bing AI,P.D. UNDERTAKEN,no
SR394, Health & Medical Sciences,tenured staff,10 to 15,Sometimes,ChatGPT,NO P.D.,yes
SR395,"Science, Engineering  & Tech",tenured staff,0 to 5,Sometimes,ChatGPT,INADEQUATE P.D.,no
SR396,"Science, Engineering  & Tech",on fixed term ,5 to 10,Often,Research Rabbit,INADEQUATE P.D.,no
SR397, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Often,Dalle-E,NO P.D.,no
SR398, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Sometimes,Midjourney,INADEQUATE P.D.,no
SR399,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Often,Midjourney,INADEQUATE P.D.,no
SR400,"Science, Engineering  & Tech",on fixed term ,>15,Rarely,ChatGPT,INADEQUATE P.D.,no
SR401,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Otter,P.D. UNDERTAKEN,yes
SR402,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,Grammarly,P.D. UNDERTAKEN,no
SR403, Health & Medical Sciences,tenured staff,0 to 5,Never,Otter,NO P.D.,no
SR404,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Rarely,Bing AI,P.D. UNDERTAKEN,no
SR405,Not indicated ,adjunct senior lecturer,0 to 5,Often,Grammarly,INADEQUATE P.D.,no
SR406,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Never,Grammarly,P.D. UNDERTAKEN,no
SR407,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Never,Research Rabbit,P.D. UNDERTAKEN,no
SR408,Not indicated ,adjunct senior lecturer,5 to 10,Rarely,ChatGPT,P.D. UNDERTAKEN,yes
SR409, Health & Medical Sciences,tenured staff,5 to 10,Rarely,Otter,P.D. UNDERTAKEN,yes
SR410,Not indicated ,on fixed term ,>15,Never,Otter,NO P.D.,yes
SR411,"Arts, Business, Law  & Economics",tenured staff,>15,Never,ChatGPT,INADEQUATE P.D.,no
SR412, Health & Medical Sciences,on fixed term ,10 to 15,Sometimes,Otter,INADEQUATE P.D.,no
SR413,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Often,Elicit,NO P.D.,yes
SR414,Not indicated ,tenured staff,>15,Sometimes,ChatGPT,INADEQUATE P.D.,yes
SR415,Not indicated ,adjunct senior lecturer,0 to 5,Rarely,Research Rabbit,INADEQUATE P.D.,yes
SR416,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Sometimes,Dalle-E,INADEQUATE P.D.,no
SR417,"Science, Engineering  & Tech",on fixed term ,5 to 10,Sometimes,Grammarly,P.D. UNDERTAKEN,no
SR418,"Science, Engineering  & Tech",on fixed term ,5 to 10,Sometimes,Research Rabbit,P.D. UNDERTAKEN,no
SR419,Not indicated ,adjunct senior lecturer,10 to 15,Sometimes,Midjourney,NO P.D.,no
SR420,Not indicated ,adjunct senior lecturer,>15,Often,Bing AI,P.D. UNDERTAKEN,no
SR421,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Often,Dalle-E,INADEQUATE P.D.,yes
SR422,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Never,Midjourney,P.D. UNDERTAKEN,no
SR423,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Rarely,Grammarly,P.D. UNDERTAKEN,yes
SR424,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Sometimes,Otter,P.D. UNDERTAKEN,no
SR425,"Science, Engineering  & Tech",tenured staff,5 to 10,Never,ChatGPT,P.D. UNDERTAKEN,no
SR426,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Never,Grammarly,NO P.D.,no
SR427,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Never,Research Rabbit,INADEQUATE P.D.,no
SR428, Health & Medical Sciences,on fixed term ,>15,Often,Bing AI,INADEQUATE P.D.,no
SR429,"Arts, Business, Law  & Economics",on fixed term ,>15,Sometimes,Research Rabbit,NO P.D.,no
SR430,Not indicated ,on fixed term ,>15,Sometimes,Dalle-E,INADEQUATE P.D.,yes
SR431,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Rarely,Dalle-E,INADEQUATE P.D.,no
SR432,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Sometimes,Bing AI,INADEQUATE P.D.,no
SR433,"Science, Engineering  & Tech",on fixed term ,5 to 10,Sometimes,Elicit,P.D. UNDERTAKEN,yes
SR434,Not indicated ,on fixed term ,5 to 10,Never,Midjourney,P.D. UNDERTAKEN,no
SR435,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Rarely,Midjourney,NO P.D.,yes
SR436,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,Dalle-E,P.D. UNDERTAKEN,no
SR437, Health & Medical Sciences,on fixed term ,>15,Often,Dalle-E,INADEQUATE P.D.,no
SR438,"Arts, Business, Law  & Economics",on fixed term ,>15,Sometimes,Otter,P.D. UNDERTAKEN,yes
SR439,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Never,ChatGPT,P.D. UNDERTAKEN,no
SR440, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Often,Otter,P.D. UNDERTAKEN,no
SR441,"Science, Engineering  & Tech",tenured staff,0 to 5,Never,Otter,P.D. UNDERTAKEN,yes
SR442,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Sometimes,Elicit,NO P.D.,no
SR443, Health & Medical Sciences,on fixed term ,0 to 5,Often,Midjourney,INADEQUATE P.D.,no
SR444,Not indicated ,adjunct senior lecturer,5 to 10,Rarely,Elicit,INADEQUATE P.D.,no
SR445,"Science, Engineering  & Tech",tenured staff,5 to 10,Rarely,Elicit,NO P.D.,yes
SR446,Not indicated ,adjunct senior lecturer,>15,Often,Bing AI,INADEQUATE P.D.,no
SR447,Not indicated ,adjunct senior lecturer,>15,Often,Midjourney,INADEQUATE P.D.,no
SR448, Health & Medical Sciences,adjunct senior lecturer,10 to 15,Never,ChatGPT,INADEQUATE P.D.,no
SR449,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR450, Health & Medical Sciences,on fixed term ,0 to 5,Never,Dalle-E,P.D. UNDERTAKEN,no
SR451, Health & Medical Sciences,on fixed term ,5 to 10,Sometimes,Dalle-E,NO P.D.,no
SR452, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Never,ChatGPT,P.D. UNDERTAKEN,no
SR453, Health & Medical Sciences,tenured staff,5 to 10,Often,Elicit,INADEQUATE P.D.,yes
SR454,"Science, Engineering  & Tech",tenured staff,10 to 15,Often,Otter,P.D. UNDERTAKEN,yes
SR455,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,Bing AI,P.D. UNDERTAKEN,no
SR456,Not indicated ,tenured staff,>15,Often,Elicit,P.D. UNDERTAKEN,yes
SR457,Not indicated ,adjunct senior lecturer,>15,Often,Dalle-E,P.D. UNDERTAKEN,no
SR458,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Rarely,Grammarly,NO P.D.,no
SR459,Not indicated ,tenured staff,0 to 5,Rarely,Otter,INADEQUATE P.D.,yes
SR460,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Sometimes,Dalle-E,INADEQUATE P.D.,yes
SR461,Not indicated ,tenured staff,0 to 5,Never,Grammarly,NO P.D.,no
SR462, Health & Medical Sciences,tenured staff,0 to 5,Rarely,Elicit,INADEQUATE P.D.,no
SR463,Not indicated ,adjunct senior lecturer,5 to 10,Never,ChatGPT,INADEQUATE P.D.,no
SR464,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Often,ChatGPT,INADEQUATE P.D.,no
SR465,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Otter,P.D. UNDERTAKEN,yes
SR466,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Sometimes,Dalle-E,P.D. UNDERTAKEN,no
SR467,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Sometimes,Midjourney,NO P.D.,yes
SR468,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Sometimes,Grammarly,P.D. UNDERTAKEN,no
SR469,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Rarely,Bing AI,INADEQUATE P.D.,no
SR470,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Never,Dalle-E,P.D. UNDERTAKEN,no
SR471,Not indicated ,on fixed term ,5 to 10,Often,Bing AI,P.D. UNDERTAKEN,no
SR472,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Never,Dalle-E,P.D. UNDERTAKEN,no
SR473,Not indicated ,tenured staff,5 to 10,Never,Midjourney,P.D. UNDERTAKEN,yes
SR474,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Often,Midjourney,NO P.D.,yes
SR475,"Arts, Business, Law  & Economics",on fixed term ,>15,Often,Otter,INADEQUATE P.D.,no
SR476,"Science, Engineering  & Tech",on fixed term ,>15,Rarely,Otter,INADEQUATE P.D.,no
SR477,"Science, Engineering  & Tech",on fixed term ,>15,Rarely,Midjourney,NO P.D.,no
SR478, Health & Medical Sciences,tenured staff,0 to 5,Rarely,Research Rabbit,INADEQUATE P.D.,no
SR479,"Science, Engineering  & Tech",on fixed term ,5 to 10,Rarely,Midjourney,INADEQUATE P.D.,yes
SR480, Health & Medical Sciences,on fixed term ,5 to 10,Rarely,ChatGPT,INADEQUATE P.D.,no
SR481, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Often,ChatGPT,P.D. UNDERTAKEN,no
SR482, Health & Medical Sciences,on fixed term ,10 to 15,Never,Research Rabbit,P.D. UNDERTAKEN,no
SR483, Health & Medical Sciences,tenured staff,>15,Rarely,Elicit,NO P.D.,no
SR484, Health & Medical Sciences,tenured staff,>15,Rarely,Grammarly,P.D. UNDERTAKEN,no
SR485,Not indicated ,tenured staff,>15,Never,Elicit,INADEQUATE P.D.,no
SR486,"Science, Engineering  & Tech",tenured staff,0 to 5,Rarely,Bing AI,P.D. UNDERTAKEN,no
SR487, Health & Medical Sciences,on fixed term ,5 to 10,Never,Elicit,P.D. UNDERTAKEN,no
SR488,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Never,Dalle-E,P.D. UNDERTAKEN,no
SR489,"Science, Engineering  & Tech",tenured staff,5 to 10,Often,Elicit,P.D. UNDERTAKEN,no
SR490,"Science, Engineering  & Tech",tenured staff,10 to 15,Sometimes,Dalle-E,NO P.D.,yes
SR491, Health & Medical Sciences,on fixed term ,>15,Often,Research Rabbit,INADEQUATE P.D.,yes
SR492,Not indicated ,tenured staff,>15,Sometimes,ChatGPT,INADEQUATE P.D.,no
SR493, Health & Medical Sciences,adjunct senior lecturer,>15,Sometimes,Otter,NO P.D.,yes
SR494,Not indicated ,tenured staff,0 to 5,Sometimes,Dalle-E,INADEQUATE P.D.,yes
SR495,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Rarely,ChatGPT,INADEQUATE P.D.,no
SR496,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Often,Grammarly,INADEQUATE P.D.,no
SR497,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Sometimes,Bing AI,P.D. UNDERTAKEN,no
SR498,Not indicated ,on fixed term ,0 to 5,Never,Grammarly,P.D. UNDERTAKEN,no
SR499,Not indicated ,on fixed term ,5 to 10,Rarely,Research Rabbit,NO P.D.,no
SR500,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Often,Elicit,P.D. UNDERTAKEN,no
SR501,Not indicated ,adjunct senior lecturer,>15,Sometimes,Elicit,INADEQUATE P.D.,no
SR502,"Arts, Business, Law  & Economics",on fixed term ,>15,Never,Midjourney,P.D. UNDERTAKEN,yes
SR503,"Science, Engineering  & Tech",tenured staff,10 to 15,Often,Midjourney,P.D. UNDERTAKEN,no
SR504,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Often,Midjourney,P.D. UNDERTAKEN,no
SR505,"Science, Engineering  & Tech",on fixed term ,0 to 5,Rarely,Grammarly,P.D. UNDERTAKEN,yes
SR506,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Often,Dalle-E,NO P.D.,no
SR507,Not indicated ,adjunct senior lecturer,5 to 10,Rarely,Bing AI,INADEQUATE P.D.,no
SR508,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Sometimes,Midjourney,INADEQUATE P.D.,no
SR509,Not indicated ,on fixed term ,10 to 15,Rarely,Research Rabbit,NO P.D.,no
SR510,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Never,Research Rabbit,INADEQUATE P.D.,no
SR511,"Arts, Business, Law  & Economics",tenured staff,>15,Rarely,Midjourney,INADEQUATE P.D.,yes
SR512, Health & Medical Sciences,adjunct senior lecturer,>15,Never,Elicit,INADEQUATE P.D.,no
SR513,Not indicated ,tenured staff,0 to 5,Rarely,Midjourney,P.D. UNDERTAKEN,no
SR514, Health & Medical Sciences,on fixed term ,0 to 5,Often,Bing AI,P.D. UNDERTAKEN,no
SR515,Not indicated ,on fixed term ,0 to 5,Sometimes,Midjourney,NO P.D.,yes
SR516, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Never,Bing AI,P.D. UNDERTAKEN,no
